"Visit Code","Visit Description","Number of Subjects"
"sc","ADNI Screening","1813"
"bl","ADNI Baseline","1450"
"m06","ADNI1/GO Month 6","897"
"m12","ADNI1/GO Month 12","726"
"m18","ADNI1/GO Month 18","317"
"m24","ADNI1/GO Month 24","610"
"m30","ADNI1/GO Month 30","0"
"m36","ADNI1/GO Month 36","407"
"m42","ADNI1/GO Month 42","0"
"m48","ADNI1/GO Month 48","234"
"uns1","Unscheduled","13"
"nv","ADNI2 No Visit Defined","10"
"scmri","ADNIGO Screening MRI","154"
"m03","ADNIGO Month 3 MRI","127"
"m54","ADNIGO Month 54","0"
"m60","ADNIGO Month 60","61"
"m66","ADNIGO Month 66","0"
"m72","ADNIGO Month 72","5"
"m78","ADNIGO Month 78","0"
"v01","ADNI2 Screening-New Pt","9"
"v02","ADNI2 Screening MRI-New Pt","881"
"v03","ADNI2 Baseline-New Pt","798"
"v04","ADNI2 Month 3 MRI-New Pt","685"
"v05","ADNI2 Month 6-New Pt","615"
"v06","ADNI2 Initial Visit-Cont Pt","347"
"v11","ADNI2 Year 1 Visit","909"
"v21","ADNI2 Year 2 Visit","764"
"v31","ADNI2 Year 3 Visit","211"
"v41","ADNI2 Year 4 Visit","343"
"v51","ADNI2 Year 5 Visit","42"
"nv","ADNI2 No Visit Defined","3"
"tau","ADNI2 Tau-only visit","9"
"init","ADNI3 Initial Visit-Cont Pt","427"
"y1","ADNI3 Year 1 Visit","452"
"y2","ADNI3 Year 2 Visit","567"
"y3","ADNI3 Year 3 Visit","137"
"y4","ADNI3 Year 4 Visit","294"
"y5","ADNI3 Year 5 Visit","54"
"y6","ADNI3 Year 6 Visit","0"
"sq","ADNI4 Site Certification","0"
"4_sc","ADNI4 Screening - New Pt","312"
"4_bl","ADNI4 Baseline - New Pt","201"
"4_init","ADNI4 Initial Visit - Cont Pt","326"
"4_m12","ADNI4 Month 12","31"
